Claim_Path,Claim_Time,Claim_Trace,Label_Time,Label_Trace,Attack_Type,Matched_File_Name,Detected_Global_Node_Seq,Reachable_Global_Node_Path,Detected_Region_Candidates,Reach_Flag,S_seq,S_whole,S_topo,Topo_Decision
交叉_小米MAX3_电信卡/20230923_2048,292.613,"[""e4"", ""e3"", ""e4"", ""e3"", ""d3"", ""d4"", ""e4"", ""d4""]",253.25,"[""e4"", ""e3"", ""e4"", ""e3"", ""d3"", ""d4"", ""e4"", ""d4""]",replay_attack,20230923_2048_merged.csv,"[2, 2, 11, 9, 6, 11, 18]","[2, 1, 0, 11, 0, 9, 8, 7, 6, 7, 8, 9, 0, 11, 12, 31, 18]","[['c4'], ['d4'], ['d4'], ['d4'], ['d4'], ['d4', 'e4'], ['e3'], ['e3', 'e4'], ['e4'], ['e3', 'e4'], ['e3'], ['d4', 'e4'], ['d4'], ['d4'], ['d4', 'e4'], ['d3', 'd4'], ['b4']]",1,0.411765,0.666667,0.839216,reachable_scored
交叉_小米MAX3_电信卡/20240523_1959,274.384,"[""e4"", ""e3"", ""e4"", ""e3"", ""d3"", ""d4"", ""e4"", ""d4""]",254.605,"[""e4"", ""e3"", ""e4"", ""e3"", ""d3"", ""d4"", ""e4"", ""d4""]",replay_attack,20240523_1959_merged.csv,"[6, 7, 5, 0]","[6, 7, 8, 9, 0, 11, 4, 5, 4, 11, 0]","[['e4'], ['e3', 'e4'], ['e3'], ['d4', 'e4'], ['d4'], ['d4'], ['d4'], ['d4'], ['d4'], ['d4'], ['d4']]",1,0.454545,0.75,0.9022729999999999,reachable_scored
交叉_小米MAX3_电信卡/20230923_2123,282.877,"[""e4"", ""e3"", ""e4"", ""e3"", ""d3"", ""d4"", ""e4"", ""d4""]",258.136,"[""e4"", ""e3"", ""e4"", ""e3"", ""d3"", ""d4"", ""e4"", ""d4""]",replay_attack,20230923_2123_merged.csv,"[33, 18, 2, 34, 4, 8, 0, 4]","[33, 18, 31, 12, 11, 0, 1, 2, 3, 4, 35, 34, 35, 4, 11, 0, 9, 8, 9, 0, 11, 4]","[['c5'], ['b4'], ['d3', 'd4'], ['d4', 'e4'], ['d4'], ['d4'], ['d4'], ['c4'], ['c4'], ['d4'], ['c6'], ['c5'], ['c6'], ['d4'], ['d4'], ['d4'], ['d4', 'e4'], ['e3'], ['d4', 'e4'], ['d4'], ['d4'], ['d4']]",1,0.227273,0.5,0.663636,reachable_scored
交叉_小米MAX3_电信卡/20230709_1340,274.497,"[""e4"", ""e3"", ""e4"", ""e3"", ""d3"", ""d4"", ""e4"", ""d4""]",265.917,"[""e4"", ""e3"", ""e4"", ""e3"", ""d3"", ""d4"", ""e4"", ""d4""]",replay_attack,20230709_1340_merged.csv,"[35, 7, 8, 11, 11]","[35, 4, 11, 0, 9, 8, 7, 8, 9, 0, 11]","[['c6'], ['d4'], ['d4'], ['d4'], ['d4', 'e4'], ['e3'], ['e3', 'e4'], ['e3'], ['d4', 'e4'], ['d4'], ['d4']]",1,0.545455,0.6,0.872727,reachable_scored
交叉_小米MAX3_电信卡/20230923_2048,292.613,"[""e4"", ""e3"", ""e4"", ""e3"", ""d3"", ""d4"", ""e4"", ""d4""]",276.245,"[""e4"", ""e3"", ""e4"", ""e3"", ""d3"", ""d4"", ""e4"", ""d4""]",replay_attack,20230923_2048_merged.csv,"[2, 2, 11, 9, 6, 11, 18]","[2, 1, 0, 11, 0, 9, 8, 7, 6, 7, 8, 9, 0, 11, 12, 31, 18]","[['c4'], ['d4'], ['d4'], ['d4'], ['d4'], ['d4', 'e4'], ['e3'], ['e3', 'e4'], ['e4'], ['e3', 'e4'], ['e3'], ['d4', 'e4'], ['d4'], ['d4'], ['d4', 'e4'], ['d3', 'd4'], ['b4']]",1,0.411765,0.666667,0.839216,reachable_scored
交叉_小米MAX3_电信卡/20230709_1334,266.137,"[""e4"", ""e3"", ""e4"", ""e3"", ""d3"", ""d4"", ""e4"", ""d4""]",276.293,"[""e4"", ""e3"", ""e4"", ""e3"", ""d3"", ""d4"", ""e4"", ""d4""]",replay_attack,20230709_1334_merged.csv,"[4, 35, 7, 18, 11]","[4, 35, 4, 11, 0, 9, 8, 7, 8, 9, 0, 11, 12, 31, 18, 31, 12, 11]","[['d4'], ['c6'], ['d4'], ['d4'], ['d4'], ['d4', 'e4'], ['e3'], ['e3', 'e4'], ['e3'], ['d4', 'e4'], ['d4'], ['d4'], ['d4', 'e4'], ['d3', 'd4'], ['b4'], ['d3', 'd4'], ['d4', 'e4'], ['d4']]",1,0.444444,0.666667,0.855556,reachable_scored
交叉_小米MAX3_电信卡/20240523_1959,274.384,"[""e4"", ""e3"", ""e4"", ""e3"", ""d3"", ""d4"", ""e4"", ""d4""]",265.887,"[""e4"", ""e3"", ""e4"", ""e3"", ""d3"", ""d4"", ""e4"", ""d4""]",replay_attack,20240523_1959_merged.csv,"[6, 7, 5, 0]","[6, 7, 8, 9, 0, 11, 4, 5, 4, 11, 0]","[['e4'], ['e3', 'e4'], ['e3'], ['d4', 'e4'], ['d4'], ['d4'], ['d4'], ['d4'], ['d4'], ['d4'], ['d4']]",1,0.454545,0.75,0.9022729999999999,reachable_scored
交叉_小米MAX3_电信卡/20230709_1334,266.137,"[""e4"", ""e3"", ""e4"", ""e3"", ""d3"", ""d4"", ""e4"", ""d4""]",273.326,"[""e4"", ""e3"", ""e4"", ""e3"", ""d3"", ""d4"", ""e4"", ""d4""]",replay_attack,20230709_1334_merged.csv,"[4, 35, 7, 18, 11]","[4, 35, 4, 11, 0, 9, 8, 7, 8, 9, 0, 11, 12, 31, 18, 31, 12, 11]","[['d4'], ['c6'], ['d4'], ['d4'], ['d4'], ['d4', 'e4'], ['e3'], ['e3', 'e4'], ['e3'], ['d4', 'e4'], ['d4'], ['d4'], ['d4', 'e4'], ['d3', 'd4'], ['b4'], ['d3', 'd4'], ['d4', 'e4'], ['d4']]",1,0.444444,0.666667,0.855556,reachable_scored
交叉_小米MAX3_电信卡/20230709_1324,270.855,"[""e4"", ""e3"", ""e4"", ""e3"", ""d3"", ""d4"", ""e4"", ""d4""]",264.741,"[""e4"", ""e3"", ""e4"", ""e3"", ""d3"", ""d4"", ""e4"", ""d4""]",replay_attack,20230709_1324_merged.csv,"[35, 7, 8, 0]","[35, 4, 11, 0, 9, 8, 7, 8, 9, 0]","[['c6'], ['d4'], ['d4'], ['d4'], ['d4', 'e4'], ['e3'], ['e3', 'e4'], ['e3'], ['d4', 'e4'], ['d4']]",1,0.6,0.6,0.8999999999999999,reachable_scored
交叉_小米MAX3_电信卡/20230923_2123,282.877,"[""e4"", ""e3"", ""e4"", ""e3"", ""d3"", ""d4"", ""e4"", ""d4""]",261.451,"[""e4"", ""e3"", ""e4"", ""e3"", ""d3"", ""d4"", ""e4"", ""d4""]",replay_attack,20230923_2123_merged.csv,"[33, 18, 2, 34, 4, 8, 0, 4]","[33, 18, 31, 12, 11, 0, 1, 2, 3, 4, 35, 34, 35, 4, 11, 0, 9, 8, 9, 0, 11, 4]","[['c5'], ['b4'], ['d3', 'd4'], ['d4', 'e4'], ['d4'], ['d4'], ['d4'], ['c4'], ['c4'], ['d4'], ['c6'], ['c5'], ['c6'], ['d4'], ['d4'], ['d4'], ['d4', 'e4'], ['e3'], ['d4', 'e4'], ['d4'], ['d4'], ['d4']]",1,0.227273,0.5,0.663636,reachable_scored
交叉_小米MAX3_电信卡/20230923_2111,292.398,"[""e4"", ""e3"", ""e4"", ""e3"", ""d3"", ""d4"", ""e4"", ""d4""]",262.531,"[""e4"", ""e3"", ""e4"", ""e3"", ""d3"", ""d4"", ""e4"", ""d4""]",replay_attack,20230923_2111_merged.csv,"[18, 5, 34, 18, 18, 18]","[18, 31, 12, 11, 4, 5, 4, 35, 34, 33, 18]","[['b4'], ['d3', 'd4'], ['d4', 'e4'], ['d4'], ['d4'], ['d4'], ['d4'], ['c6'], ['c5'], ['c5'], ['b4']]",1,0.272727,0.428571,0.650649,reachable_scored
交叉_小米MAX3_电信卡/20240523_1954,264.195,"[""e4"", ""e3"", ""e4"", ""e3"", ""d3"", ""d4"", ""e4"", ""d4""]",255.967,"[""e4"", ""e3"", ""e4"", ""e3"", ""d3"", ""d4"", ""e4"", ""d4""]",replay_attack,20240523_1954_merged.csv,"[6, 7, 9, 6, 9]","[6, 7, 8, 9, 8, 7, 6, 7, 8, 9]","[['e4'], ['e3', 'e4'], ['e3'], ['d4', 'e4'], ['e3'], ['e3', 'e4'], ['e4'], ['e3', 'e4'], ['e3'], ['d4', 'e4']]",1,0.6,0.75,0.9750000000000001,reachable_scored
