Attack_Name,Claim_Path,Sample_Key,S_curr,S_signal,S_time,S_without_topology,Signal_Anchor_Count,Missing_S_curr,Missing_S_signal,Missing_S_time
forged_trace,交叉_小米MAX3_移动卡/20230628_1436,20230628_1436,0.962611,0.8173443333333333,0.967404,0.9149876111111112,3,False,False,False
forged_trace,交叉_小米MAX3_移动卡/20230628_1443,20230628_1443,0.958143,0.8266081428571429,1.0,0.9212742142857144,7,False,False,False
forged_trace,交叉_小米MAX3_移动卡/20230704_2002,20230704_2002,0.956951,0.8352568333333333,1.0,0.9235611111111113,6,False,False,False
forged_trace,交叉_小米MAX3_移动卡/20230704_2008,20230704_2008,0.960922,0.8405554999999999,0.891143,0.90917,6,False,False,False
forged_trace,交叉_小米MAX3_移动卡/20230704_2013,20230704_2013,0.971973,0.83535525,0.966774,0.9255672500000001,4,False,False,False
forged_trace,交叉_小米MAX3_移动卡/20230704_2019,20230704_2019,0.95253,0.8623775,0.758935,0.8902133333333334,4,False,False,False
forged_trace,交叉_小米MAX3_移动卡/20230705_1314,20230705_1314,0.973833,0.8112342,1.0,0.9239945666666667,5,False,False,False
forged_trace,交叉_小米MAX3_移动卡/20230705_1319,20230705_1319,0.975441,0.8651218,0.80646,0.9105044333333334,5,False,False,False
forged_trace,交叉_小米MAX3_移动卡/20230705_1329,20230705_1329,0.98848,0.8462053333333333,1.0,0.9429751111111111,6,False,False,False
forged_trace,交叉_小米MAX3_移动卡/20230706_2053,20230706_2053,0.982606,0.8533507142857142,1.0,0.9424199047619048,7,False,False,False
forged_trace,交叉_小米MAX3_移动卡/20230706_2059,20230706_2059,0.983415,0.8604748000000001,0.870442,0.9236061000000001,5,False,False,False
forged_trace,交叉_小米MAX3_移动卡/20230706_2104,20230706_2104,0.952107,0.8304988,0.965098,0.9137361,5,False,False,False
forged_trace,交叉_小米MAX3_移动卡/20230706_2109,20230706_2109,0.98302,0.836038,1.0,0.9368560000000001,5,False,False,False
forged_trace,交叉_小米MAX3_移动卡/20230707_1534,20230707_1534,0.976304,0.8064460000000001,1.0,0.9236340000000001,6,False,False,False
forged_trace,交叉_小米MAX3_移动卡/20230707_1545,20230707_1545,0.957889,0.8425474,0.910612,0.9115622999999999,5,False,False,False
