Time,Cell_Type,Cell_ID,Cell_RSSI,WiFi_MAC,WiFi_ID,WiFi_RSSI
20220505_19:55,"[Lte, Lte, Lte, Gsm, Gsm, Gsm, Gsm, Gsm, Gsm, Gsm, Gsm]","[477, 124, 118, 2147483647, 2147483647, 2147483647, 2147483647, 2147483647, 2147483647, 2147483647, 2147483647]","[-87, -136, -137, -113, -113, -113, -113, -113, -113, -113, -113]","[ac:5d:5c:0b:10:87, 86:65:69:1e:eb:80, 84:65:69:ce:eb:80, 64:64:4a:8c:73:92, 6a:64:4a:8c:73:92, 44:a1:91:a5:7f:70, 36:f7:16:53:6c:ad, 64:e1:72:08:7c:bf, 04:f1:69:06:f4:84, 70:fd:45:4a:d5:e0, 34:f7:16:c3:6c:ad, 86:65:69:6e:eb:80, 86:65:69:7e:eb:80, 44:a1:91:a5:7f:60, a0:cf:f5:29:88:43, 9c:9d:7e:7d:2c:b9, 44:67:47:84:65:80, a2:cf:f5:19:88:43]","[SLD_DVR_1087, 联华精养, , 华为授权体验店, , Livat WiFi, , 360行车记录仪-7CBF, HUAWEI_B311_F483, Livat WiFi, UA, , 联华精养_5G, Livat WiFi, ChinaNet-9dci, xiaomi111, Livat WiFi, iTV-9dci]","[-77, -78, -79, -83, -83, -83, -83, -86, -86, -86, -88, -91, -91, -91, -93, -93, -94, -94]"
20220505_19:55,"[Lte, Lte, Lte, Gsm, Gsm, Gsm, Gsm, Gsm, Gsm, Gsm, Gsm]","[477, 124, 118, 2147483647, 2147483647, 2147483647, 2147483647, 2147483647, 2147483647, 2147483647, 2147483647]","[-89, -136, -137, -113, -113, -113, -113, -113, -113, -113, -113]","[86:65:69:1e:eb:80, ac:5d:5c:0b:10:87, 44:a1:91:a5:7f:70, 04:f1:69:06:f4:84, 36:f7:16:53:6c:ad, 04:f1:69:06:f4:87, 44:67:47:84:65:80, c4:a1:51:71:8f:d7, 86:65:69:6e:eb:80, 86:65:69:7e:eb:80, 34:f7:16:c3:6c:ad, c4:a1:51:71:8f:d8, 70:fd:45:4a:d5:e0, a2:9d:7e:7d:2c:b9, 9c:9d:7e:7d:2c:b9, 70:fd:45:ea:02:80, 30:aa:e4:9f:79:e5, 30:aa:e4:9f:79:e9, 30:aa:e4:9f:79:e4]","[联华精养, SLD_DVR_1087, Livat WiFi, HUAWEI_B311_F483, , , Livat WiFi, ChinaNet-wzgD-5G, , 联华精养_5G, UA, ChinaNet-wzgD, Livat WiFi, , xiaomi111, Livat WiFi, , , LOWA]","[-77, -80, -82, -85, -85, -87, -87, -87, -90, -90, -90, -92, -92, -92, -92, -93, -94, -94, -95]"
20220505_19:55,"[Lte, Lte, Lte, Gsm, Gsm, Gsm, Gsm, Gsm, Gsm, Gsm, Gsm]","[477, 124, 118, 2147483647, 2147483647, 2147483647, 2147483647, 2147483647, 2147483647, 2147483647, 2147483647]","[-88, -136, -137, -113, -113, -113, -113, -113, -113, -113, -113]","[86:65:69:1e:eb:80, ac:5d:5c:0b:10:87, 44:a1:91:a5:7f:70, 04:f1:69:06:f4:84, 36:f7:16:53:6c:ad, 04:f1:69:06:f4:87, 44:67:47:84:65:80, c4:a1:51:71:8f:d7, 86:65:69:6e:eb:80, 86:65:69:7e:eb:80, 34:f7:16:c3:6c:ad, c4:a1:51:71:8f:d8, 70:fd:45:4a:d5:e0, a2:9d:7e:7d:2c:b9, 9c:9d:7e:7d:2c:b9, 70:fd:45:ea:02:80, 30:aa:e4:9f:79:e5, 30:aa:e4:9f:79:e9, 30:aa:e4:9f:79:e4]","[联华精养, SLD_DVR_1087, Livat WiFi, HUAWEI_B311_F483, , , Livat WiFi, ChinaNet-wzgD-5G, , 联华精养_5G, UA, ChinaNet-wzgD, Livat WiFi, , xiaomi111, Livat WiFi, , , LOWA]","[-77, -80, -85, -85, -85, -87, -87, -87, -90, -90, -90, -92, -92, -92, -92, -93, -94, -94, -95]"
20220505_19:55,"[Lte, Lte, Lte, Gsm, Gsm, Gsm, Gsm, Gsm, Gsm, Gsm, Gsm]","[477, 124, 118, 2147483647, 2147483647, 2147483647, 2147483647, 2147483647, 2147483647, 2147483647, 2147483647]","[-91, -136, -137, -113, -113, -113, -113, -113, -113, -113, -113]","[86:65:69:1e:eb:80, ac:5d:5c:0b:10:87, 44:a1:91:a5:7f:70, 04:f1:69:06:f4:84, 36:f7:16:53:6c:ad, 04:f1:69:06:f4:87, 44:67:47:84:65:80, c4:a1:51:71:8f:d7, 86:65:69:6e:eb:80, 86:65:69:7e:eb:80, 34:f7:16:c3:6c:ad, c4:a1:51:71:8f:d8, 70:fd:45:4a:d5:e0, a2:9d:7e:7d:2c:b9, 9c:9d:7e:7d:2c:b9, 70:fd:45:ea:02:80, 30:aa:e4:9f:79:e5, 30:aa:e4:9f:79:e9, 30:aa:e4:9f:79:e4]","[联华精养, SLD_DVR_1087, Livat WiFi, HUAWEI_B311_F483, , , Livat WiFi, ChinaNet-wzgD-5G, , 联华精养_5G, UA, ChinaNet-wzgD, Livat WiFi, , xiaomi111, Livat WiFi, , , LOWA]","[-77, -80, -85, -85, -85, -87, -87, -87, -90, -90, -90, -92, -92, -92, -92, -93, -94, -94, -95]"
20220505_19:55,"[Lte, Lte, Lte, Gsm, Gsm, Gsm, Gsm, Gsm, Gsm, Gsm, Gsm]","[477, 124, 118, 2147483647, 2147483647, 2147483647, 2147483647, 2147483647, 2147483647, 2147483647, 2147483647]","[-91, -136, -137, -113, -113, -113, -113, -113, -113, -113, -113]","[86:65:69:1e:eb:80, ac:5d:5c:0b:10:87, 44:a1:91:a5:7f:70, 04:f1:69:06:f4:84, 36:f7:16:53:6c:ad, 04:f1:69:06:f4:87, 44:67:47:84:65:80, c4:a1:51:71:8f:d7, 86:65:69:6e:eb:80, 86:65:69:7e:eb:80, 34:f7:16:c3:6c:ad, c4:a1:51:71:8f:d8, 70:fd:45:4a:d5:e0, a2:9d:7e:7d:2c:b9, 9c:9d:7e:7d:2c:b9, 70:fd:45:ea:02:80, 30:aa:e4:9f:79:e5, 30:aa:e4:9f:79:e9, 30:aa:e4:9f:79:e4]","[联华精养, SLD_DVR_1087, Livat WiFi, HUAWEI_B311_F483, , , Livat WiFi, ChinaNet-wzgD-5G, , 联华精养_5G, UA, ChinaNet-wzgD, Livat WiFi, , xiaomi111, Livat WiFi, , , LOWA]","[-77, -80, -85, -85, -85, -87, -87, -87, -90, -90, -90, -92, -92, -92, -92, -93, -94, -94, -95]"
20220505_19:55,"[Lte, Lte, Lte, Lte, Gsm, Gsm, Gsm, Gsm, Gsm, Gsm, Gsm, Gsm]","[477, 474, 124, 118, 2147483647, 2147483647, 2147483647, 2147483647, 2147483647, 2147483647, 2147483647, 2147483647]","[-89, -123, -136, -137, -113, -113, -113, -113, -113, -113, -113, -113]","[86:65:69:1e:eb:80, ac:5d:5c:0b:10:87, 44:a1:91:a5:7f:70, 04:f1:69:06:f4:84, 36:f7:16:53:6c:ad, 04:f1:69:06:f4:87, 44:67:47:84:65:80, c4:a1:51:71:8f:d7, 86:65:69:6e:eb:80, 86:65:69:7e:eb:80, 34:f7:16:c3:6c:ad, c4:a1:51:71:8f:d8, 70:fd:45:4a:d5:e0, a2:9d:7e:7d:2c:b9, 9c:9d:7e:7d:2c:b9, 70:fd:45:ea:02:80, 30:aa:e4:9f:79:e5, 30:aa:e4:9f:79:e9, 30:aa:e4:9f:79:e4]","[联华精养, SLD_DVR_1087, Livat WiFi, HUAWEI_B311_F483, , , Livat WiFi, ChinaNet-wzgD-5G, , 联华精养_5G, UA, ChinaNet-wzgD, Livat WiFi, , xiaomi111, Livat WiFi, , , LOWA]","[-77, -80, -85, -85, -85, -87, -87, -87, -90, -90, -90, -92, -92, -92, -92, -93, -94, -94, -95]"
20220505_19:55,"[Lte, Lte, Lte, Lte, Gsm, Gsm, Gsm, Gsm, Gsm, Gsm, Gsm, Gsm]","[477, 474, 124, 118, 2147483647, 2147483647, 2147483647, 2147483647, 2147483647, 2147483647, 2147483647, 2147483647]","[-84, -107, -136, -137, -113, -113, -113, -113, -113, -113, -113, -113]","[86:65:69:1e:eb:80, ac:5d:5c:0b:10:87, 44:a1:91:a5:7f:70, 04:f1:69:06:f4:84, 36:f7:16:53:6c:ad, 04:f1:69:06:f4:87, 44:67:47:84:65:80, c4:a1:51:71:8f:d7, 86:65:69:6e:eb:80, 86:65:69:7e:eb:80, 34:f7:16:c3:6c:ad, c4:a1:51:71:8f:d8, 70:fd:45:4a:d5:e0, a2:9d:7e:7d:2c:b9, 9c:9d:7e:7d:2c:b9, 70:fd:45:ea:02:80, 30:aa:e4:9f:79:e5, 30:aa:e4:9f:79:e9, 30:aa:e4:9f:79:e4]","[联华精养, SLD_DVR_1087, Livat WiFi, HUAWEI_B311_F483, , , Livat WiFi, ChinaNet-wzgD-5G, , 联华精养_5G, UA, ChinaNet-wzgD, Livat WiFi, , xiaomi111, Livat WiFi, , , LOWA]","[-77, -80, -85, -85, -85, -87, -87, -87, -90, -90, -90, -92, -92, -92, -92, -93, -94, -94, -95]"
20220505_19:55,"[Lte, Lte, Lte, Lte, Gsm, Gsm, Gsm, Gsm, Gsm, Gsm, Gsm, Gsm]","[477, 474, 124, 118, 2147483647, 2147483647, 2147483647, 2147483647, 2147483647, 2147483647, 2147483647, 2147483647]","[-94, -105, -136, -137, -113, -113, -113, -113, -113, -113, -113, -113]","[64:e1:72:08:7c:bf, ac:5d:5c:0b:10:87, 86:65:69:1e:eb:80, 84:65:69:ce:eb:80, a0:9f:10:54:c0:be, a2:cf:f5:19:d1:36, 64:64:4a:8c:73:92, 6a:64:4a:8c:73:92, 30:aa:e4:9f:79:e9, 30:aa:e4:9f:79:e4, 30:aa:e4:9f:79:e5]","[360行车记录仪-7CBF, SLD_DVR_1087, 联华精养, , VT5005_a09f1054c0be, iTV-HRgj, 华为授权体验店, , , LOWA, ]","[-69, -72, -83, -86, -86, -89, -91, -91, -93, -95, -96]"
20220505_19:55,"[Lte, Lte, Lte, Lte, Gsm, Gsm, Gsm, Gsm, Gsm, Gsm, Gsm, Gsm]","[477, 474, 124, 118, 2147483647, 2147483647, 2147483647, 2147483647, 2147483647, 2147483647, 2147483647, 2147483647]","[-94, -120, -136, -137, -113, -113, -113, -113, -113, -113, -113, -113]","[a0:9f:10:54:c0:be, 64:e1:72:08:7c:bf, ac:5d:5c:0b:10:87, 00:c6:81:a7:ad:36, 84:65:69:ce:eb:80, 86:65:69:1e:eb:80]","[VT5005_a09f1054c0be, 360行车记录仪-7CBF, SLD_DVR_1087, CAR-DVR-ad36, , 联华精养]","[-69, -73, -77, -91, -92, -94]"
20220505_19:55,"[Lte, Lte, Lte, Lte, Gsm, Gsm, Gsm, Gsm, Gsm, Gsm, Gsm, Gsm]","[477, 474, 124, 118, 2147483647, 2147483647, 2147483647, 2147483647, 2147483647, 2147483647, 2147483647, 2147483647]","[-97, -107, -136, -137, -113, -113, -113, -113, -113, -113, -113, -113]","[64:e1:72:08:7c:bf, a0:9f:10:54:c0:be, ac:5d:5c:0b:10:87, 88:40:33:90:b0:30, 84:65:69:ce:eb:80, 86:65:69:1e:eb:80, 00:c6:81:a7:ad:36, ca:5b:a0:14:62:08, 98:49:14:fd:a5:d3, 9c:9d:7e:7d:2c:b9, 8c:de:f9:b5:e3:38]","[360行车记录仪-7CBF, VT5005_a09f1054c0be, SLD_DVR_1087, CU_eQBy, , 联华精养, CAR-DVR-ad36, HZ-CS-TBL, BMW74984 CarPlay, xiaomi111, coodoo5g]","[-70, -73, -80, -87, -89, -89, -89, -93, -93, -94, -94]"
20220505_19:55,"[Lte, Lte, Lte, Lte, Gsm, Gsm, Gsm, Gsm, Gsm, Gsm, Gsm, Gsm]","[477, 474, 124, 118, 2147483647, 2147483647, 2147483647, 2147483647, 2147483647, 2147483647, 2147483647, 2147483647]","[-95, -106, -136, -137, -113, -113, -113, -113, -113, -113, -113, -113]","[a0:9f:10:54:c0:be, ac:5d:5c:0b:10:87, 88:40:33:90:b0:30, 84:65:69:ce:eb:80, 86:65:69:1e:eb:80, 64:e1:72:09:3c:7a, 64:64:4a:8c:73:92, 7c:76:30:64:eb:60]","[VT5005_a09f1054c0be, SLD_DVR_1087, CU_eQBy, , 联华精养, 360行车记录仪-3C7A, 华为授权体验店, ChinaNet-cPem]","[-71, -81, -83, -86, -86, -91, -93, -93]"
20220505_19:55,"[Lte, Lte, Lte, Lte, Gsm, Gsm, Gsm, Gsm, Gsm, Gsm, Gsm, Gsm]","[477, 474, 124, 118, 2147483647, 2147483647, 2147483647, 2147483647, 2147483647, 2147483647, 2147483647, 2147483647]","[-91, -104, -136, -137, -113, -113, -113, -113, -113, -113, -113, -113]","[a0:9f:10:54:c0:be, 88:40:33:90:b0:30, ac:5d:5c:0b:10:87, 84:65:69:ce:eb:80, 86:65:69:1e:eb:80, 64:e1:72:08:7c:bf, 00:c6:81:a7:ad:36]","[VT5005_a09f1054c0be, CU_eQBy, SLD_DVR_1087, , 联华精养, 360行车记录仪-7CBF, CAR-DVR-ad36]","[-78, -85, -87, -87, -87, -89, -93]"
20220505_19:55,"[Lte, Lte, Lte, Lte, Gsm, Gsm, Gsm, Gsm, Gsm, Gsm, Gsm, Gsm]","[477, 474, 124, 118, 2147483647, 2147483647, 2147483647, 2147483647, 2147483647, 2147483647, 2147483647, 2147483647]","[-89, -110, -136, -137, -113, -113, -113, -113, -113, -113, -113, -113]","[a0:9f:10:54:c0:be, ac:5d:5c:0b:10:87, 88:40:33:90:b0:30, 64:e1:72:08:7c:bf, 7c:76:30:64:eb:61, ca:5b:a0:14:62:08, 8c:de:f9:b5:e3:38, 84:65:69:ce:eb:80, 86:65:69:1e:eb:80, 7c:76:30:64:eb:60, 98:49:14:fd:a5:d3, a2:9d:7e:7d:2c:b9, 9c:9d:7e:7d:2c:b9, c6:70:ab:88:a1:60, c4:67:d1:2b:df:ad]","[VT5005_a09f1054c0be, SLD_DVR_1087, CU_eQBy, 360行车记录仪-7CBF, iTV-cPem, HZ-CS-TBL, coodoo5g, , 联华精养, ChinaNet-cPem, BMW74984 CarPlay, , xiaomi111, FILA, iTV-PgPw]","[-68, -76, -77, -84, -87, -88, -88, -90, -90, -90, -91, -92, -93, -94, -95]"
20220505_19:55,"[Lte, Lte, Lte, Lte, Gsm, Gsm, Gsm, Gsm, Gsm, Gsm, Gsm, Gsm]","[477, 474, 124, 118, 2147483647, 2147483647, 2147483647, 2147483647, 2147483647, 2147483647, 2147483647, 2147483647]","[-87, -107, -136, -137, -113, -113, -113, -113, -113, -113, -113, -113]","[ac:5d:5c:0b:10:87, a0:9f:10:54:c0:be, 64:e1:72:08:7c:bf, 88:40:33:90:b0:30, ca:5b:a0:14:62:08, 7c:76:30:64:eb:61, c8:5b:a0:04:62:08, 8c:de:f9:b5:e3:38, 7c:76:30:64:eb:60, 64:e1:72:09:3c:7a, 86:65:69:1e:eb:80, c6:70:ab:88:a1:60, 84:65:69:ce:eb:80, 9c:9d:7e:7d:2c:b9]","[SLD_DVR_1087, VT5005_a09f1054c0be, 360行车记录仪-7CBF, CU_eQBy, HZ-CS-TBL, iTV-cPem, WHTOP-TBL, coodoo5g, ChinaNet-cPem, 360行车记录仪-3C7A, 联华精养, FILA, , xiaomi111]","[-78, -80, -82, -85, -87, -87, -87, -89, -89, -89, -91, -93, -94, -94]"
20220505_19:56,"[Lte, Lte, Lte, Lte, Lte, Gsm, Gsm, Gsm, Gsm, Gsm, Gsm, Gsm, Gsm]","[477, 473, 474, 124, 118, 2147483647, 2147483647, 2147483647, 2147483647, 2147483647, 2147483647, 2147483647, 2147483647]","[-89, -103, -111, -136, -137, -113, -113, -113, -113, -113, -113, -113, -113]","[a0:9f:10:54:c0:be, 88:40:33:90:b0:30, c8:5b:a0:04:62:08, ca:5b:a0:14:62:08, 64:e1:72:09:3c:7a, 7c:76:30:64:eb:61, ac:5d:5c:0b:10:87, 86:65:69:1e:eb:80, 00:c6:81:a7:ad:36, 84:65:69:ce:eb:80, 7c:76:30:64:eb:60, 9c:9d:7e:7d:2c:b9, c6:70:ab:88:a1:60, 8c:de:f9:b5:e3:38]","[VT5005_a09f1054c0be, CU_eQBy, WHTOP-TBL, HZ-CS-TBL, 360行车记录仪-3C7A, iTV-cPem, SLD_DVR_1087, 联华精养, CAR-DVR-ad36, , ChinaNet-cPem, xiaomi111, FILA, coodoo5g]","[-71, -80, -84, -85, -86, -87, -88, -88, -88, -89, -89, -92, -92, -94]"
20220505_19:56,"[Lte, Lte, Lte, Lte, Lte, Gsm, Gsm, Gsm, Gsm, Gsm, Gsm, Gsm, Gsm]","[477, 473, 474, 124, 118, 2147483647, 2147483647, 2147483647, 2147483647, 2147483647, 2147483647, 2147483647, 2147483647]","[-89, -100, -111, -136, -137, -113, -113, -113, -113, -113, -113, -113, -113]","[a0:9f:10:54:c0:be, c8:5b:a0:04:62:08, ac:5d:5c:0b:10:87, 64:e1:72:09:3c:7a, c6:70:ab:88:a1:60, 64:e1:72:08:7c:bf, 00:c6:81:a7:ad:36, 9c:9d:7e:7d:2c:b9, 98:49:14:fd:a5:d3, 88:40:33:90:b0:30, 0c:cf:89:8f:40:e0, 64:64:4a:8c:73:66, c4:67:d1:2b:df:ac]","[VT5005_a09f1054c0be, WHTOP-TBL, SLD_DVR_1087, 360行车记录仪-3C7A, FILA, 360行车记录仪-7CBF, CAR-DVR-ad36, xiaomi111, BMW74984 CarPlay, CU_eQBy, APxieqiang40001960, xiaomi, ChinaNet-PgPw]","[-66, -81, -85, -85, -88, -89, -89, -89, -91, -93, -93, -93, -94]"
20220505_19:56,"[Lte, Lte, Lte, Lte, Lte, Gsm, Gsm, Gsm, Gsm, Gsm, Gsm, Gsm, Gsm]","[477, 473, 474, 124, 118, 2147483647, 2147483647, 2147483647, 2147483647, 2147483647, 2147483647, 2147483647, 2147483647]","[-91, -106, -112, -136, -137, -113, -113, -113, -113, -113, -113, -113, -113]","[64:e1:72:08:7c:bf, 64:e1:72:09:3c:7a, c8:5b:a0:04:62:08, 98:49:14:fd:a5:d3, 7c:76:30:64:eb:61, 7c:76:30:64:eb:60, 9c:9d:7e:7d:2c:b9, 88:40:33:90:b0:30, c4:67:d1:2b:df:ad, 0c:cf:89:8f:40:e0, c4:67:d1:2b:df:ac, a2:9d:7e:7d:2c:b9, c6:70:ab:88:a1:60]","[360行车记录仪-7CBF, 360行车记录仪-3C7A, WHTOP-TBL, BMW74984 CarPlay, iTV-cPem, ChinaNet-cPem, xiaomi111, CU_eQBy, iTV-PgPw, APxieqiang40001960, ChinaNet-PgPw, , FILA]","[-82, -83, -83, -85, -87, -89, -90, -90, -90, -90, -91, -92, -93]"
20220505_19:56,"[Lte, Lte, Lte, Lte, Lte, Gsm, Gsm, Gsm, Gsm, Gsm, Gsm, Gsm, Gsm]","[477, 473, 474, 124, 118, 2147483647, 2147483647, 2147483647, 2147483647, 2147483647, 2147483647, 2147483647, 2147483647]","[-89, -100, -114, -136, -137, -113, -113, -113, -113, -113, -113, -113, -113]","[c6:70:ab:88:a1:60, ac:5d:5c:0b:10:87, 98:49:14:fd:a5:d3, 9c:9d:7e:7d:2c:b9, 7c:76:30:64:eb:60, 7c:76:30:64:eb:61, 64:e1:72:09:3c:7a, 64:e1:72:08:7c:bf, 0c:cf:89:8f:40:e0, 00:c6:81:a7:ad:36, c4:67:d1:2b:df:ad, c8:5b:a0:04:62:08]","[FILA, SLD_DVR_1087, BMW74984 CarPlay, xiaomi111, ChinaNet-cPem, iTV-cPem, 360行车记录仪-3C7A, 360行车记录仪-7CBF, APxieqiang40001960, CAR-DVR-ad36, iTV-PgPw, WHTOP-TBL]","[-83, -86, -86, -87, -87, -87, -88, -90, -91, -92, -94, -94]"
20220505_19:56,"[Lte, Lte, Lte, Lte, Gsm, Gsm, Gsm, Gsm, Gsm, Gsm, Gsm, Gsm]","[477, 473, 124, 118, 2147483647, 2147483647, 2147483647, 2147483647, 2147483647, 2147483647, 2147483647, 2147483647]","[-84, -91, -136, -137, -113, -113, -113, -113, -113, -113, -113, -113]","[64:e1:72:08:7c:bf, 00:c6:81:a7:ad:36, c6:70:ab:88:a1:60, ac:5d:5c:0b:10:87, 7c:76:30:64:eb:61, 98:49:14:fd:a5:d3, 7c:76:30:64:eb:60, c8:5b:a0:04:62:08, c4:67:d1:2b:df:ad, c4:67:d1:2b:df:ac, 9c:9d:7e:7d:2c:b9, a2:9d:7e:7d:2c:b9]","[360行车记录仪-7CBF, CAR-DVR-ad36, FILA, SLD_DVR_1087, iTV-cPem, BMW74984 CarPlay, ChinaNet-cPem, WHTOP-TBL, iTV-PgPw, ChinaNet-PgPw, xiaomi111, ]","[-78, -85, -86, -87, -87, -88, -88, -89, -90, -90, -94, -94]"
20220505_19:56,"[Lte, Lte, Lte, Lte, Gsm, Gsm, Gsm, Gsm, Gsm, Gsm, Gsm, Gsm]","[477, 473, 124, 118, 2147483647, 2147483647, 2147483647, 2147483647, 2147483647, 2147483647, 2147483647, 2147483647]","[-86, -102, -136, -137, -113, -113, -113, -113, -113, -113, -113, -113]","[00:c6:81:a7:ad:36, 64:e1:72:08:7c:bf, 98:49:14:fd:a5:d3, c4:67:d1:2b:df:ac, c6:70:ab:88:a1:60, ac:5d:5c:0b:10:87, a2:9d:7e:7d:2c:b9, 0c:cf:89:8f:40:e0, 0c:cf:89:8f:41:34, 9c:9d:7e:7d:2c:b9, 7c:76:30:64:eb:60]","[CAR-DVR-ad36, 360行车记录仪-7CBF, BMW74984 CarPlay, ChinaNet-PgPw, FILA, SLD_DVR_1087, , APxieqiang40001960, APmenkou40001910, xiaomi111, ChinaNet-cPem]","[-83, -86, -86, -87, -88, -89, -91, -91, -92, -93, -93]"
20220505_19:56,"[Lte, Lte, Lte, Lte, Gsm, Gsm, Gsm, Gsm, Gsm, Gsm, Gsm, Gsm]","[477, 473, 124, 118, 2147483647, 2147483647, 2147483647, 2147483647, 2147483647, 2147483647, 2147483647, 2147483647]","[-83, -99, -136, -137, -113, -113, -113, -113, -113, -113, -113, -113]","[64:e1:72:08:7c:bf, c4:67:d1:2b:df:ad, 98:49:14:fd:a5:d3, 64:e1:72:09:3c:7a, c4:67:d1:2b:df:ac, 00:c6:81:a7:ad:36, c6:70:ab:88:a1:60, ac:5d:5c:0b:10:87, 18:bb:26:b7:4e:ef, a2:9d:7e:7d:2c:b9]","[360行车记录仪-7CBF, iTV-PgPw, BMW74984 CarPlay, 360行车记录仪-3C7A, ChinaNet-PgPw, CAR-DVR-ad36, FILA, SLD_DVR_1087, JASET-GQ4eef, ]","[-76, -83, -84, -85, -86, -89, -90, -91, -91, -94]"
20220505_19:56,"[Lte, Lte, Lte, Lte, Gsm, Gsm, Gsm, Gsm, Gsm, Gsm, Gsm, Gsm]","[477, 473, 124, 118, 2147483647, 2147483647, 2147483647, 2147483647, 2147483647, 2147483647, 2147483647, 2147483647]","[-84, -87, -136, -137, -113, -113, -113, -113, -113, -113, -113, -113]","[64:e1:72:09:3c:7a, 98:49:14:fd:a5:d3, 00:c6:81:a7:ad:36, c4:67:d1:2b:df:ac, 9c:9d:7e:7d:2c:b9, 68:4a:ae:9f:5c:20, c6:70:ab:88:a1:60, c8:5b:a0:04:62:08, 74:05:a5:14:00:90, ac:5d:5c:0b:10:87, ca:5b:a0:14:62:08, c4:67:d1:2b:df:ad]","[360行车记录仪-3C7A, BMW74984 CarPlay, CAR-DVR-ad36, ChinaNet-PgPw, xiaomi111, Livat WiFi, FILA, WHTOP-TBL, SKECHERS, SLD_DVR_1087, HZ-CS-TBL, iTV-PgPw]","[-83, -85, -88, -88, -90, -91, -92, -93, -93, -94, -94, -95]"
20220505_19:56,"[Lte, Lte, Lte, Lte, Gsm, Gsm, Gsm, Gsm, Gsm, Gsm, Gsm, Gsm]","[477, 473, 124, 118, 2147483647, 2147483647, 2147483647, 2147483647, 2147483647, 2147483647, 2147483647, 2147483647]","[-87, -91, -136, -137, -113, -113, -113, -113, -113, -113, -113, -113]","[64:e1:72:09:3c:7a, 64:e1:72:08:7c:bf, ac:5d:5c:0b:10:87, c6:70:ab:88:a1:60, 18:bb:26:b7:4e:ef]","[360行车记录仪-3C7A, 360行车记录仪-7CBF, SLD_DVR_1087, FILA, JASET-GQ4eef]","[-77, -84, -90, -90, -90]"
20220505_19:56,"[Lte, Lte, Lte, Lte, Gsm, Gsm, Gsm, Gsm, Gsm, Gsm, Gsm, Gsm]","[477, 473, 124, 118, 2147483647, 2147483647, 2147483647, 2147483647, 2147483647, 2147483647, 2147483647, 2147483647]","[-78, -92, -136, -137, -113, -113, -113, -113, -113, -113, -113, -113]","[00:c6:81:a7:ad:36, 64:e1:72:09:3c:7a, 68:4a:ae:9f:5c:20, ac:5d:5c:0b:10:87, c6:70:ab:88:a1:60, 0c:cf:89:8a:6c:38, 98:49:14:fd:a5:d3, 18:bb:26:b7:4e:ef, d4:9c:dd:7a:88:93, 64:e1:72:08:7c:bf]","[CAR-DVR-ad36, 360行车记录仪-3C7A, Livat WiFi, SLD_DVR_1087, FILA, APshouyintai40001982, BMW74984 CarPlay, JASET-GQ4eef, FCDVR_FC05, 360行车记录仪-7CBF]","[-80, -81, -80, -87, -90, -90, -92, -92, -92, -93]"
20220505_19:56,"[Lte, Lte, Lte, Lte, Gsm, Gsm, Gsm, Gsm, Gsm, Gsm, Gsm, Gsm]","[477, 473, 124, 118, 2147483647, 2147483647, 2147483647, 2147483647, 2147483647, 2147483647, 2147483647, 2147483647]","[-76, -92, -136, -137, -113, -113, -113, -113, -113, -113, -113, -113]","[00:c6:81:a7:ad:36, 64:e1:72:09:3c:7a, 68:4a:ae:9f:5c:20, ac:5d:5c:0b:10:87, c6:70:ab:88:a1:60, 0c:cf:89:8a:6c:38, 98:49:14:fd:a5:d3, 18:bb:26:b7:4e:ef, d4:9c:dd:7a:88:93, 64:e1:72:08:7c:bf]","[CAR-DVR-ad36, 360行车记录仪-3C7A, Livat WiFi, SLD_DVR_1087, FILA, APshouyintai40001982, BMW74984 CarPlay, JASET-GQ4eef, FCDVR_FC05, 360行车记录仪-7CBF]","[-80, -81, -80, -87, -90, -90, -92, -92, -92, -93]"
20220505_19:56,"[Lte, Lte, Lte, Lte, Gsm, Gsm, Gsm, Gsm, Gsm, Gsm, Gsm, Gsm]","[477, 473, 124, 118, 2147483647, 2147483647, 2147483647, 2147483647, 2147483647, 2147483647, 2147483647, 2147483647]","[-77, -92, -136, -137, -113, -113, -113, -113, -113, -113, -113, -113]","[00:c6:81:a7:ad:36, 64:e1:72:09:3c:7a, 68:4a:ae:9f:5c:20, ac:5d:5c:0b:10:87, c6:70:ab:88:a1:60, 0c:cf:89:8a:6c:38, 98:49:14:fd:a5:d3, 18:bb:26:b7:4e:ef, d4:9c:dd:7a:88:93, 64:e1:72:08:7c:bf]","[CAR-DVR-ad36, 360行车记录仪-3C7A, Livat WiFi, SLD_DVR_1087, FILA, APshouyintai40001982, BMW74984 CarPlay, JASET-GQ4eef, FCDVR_FC05, 360行车记录仪-7CBF]","[-80, -81, -85, -87, -90, -90, -92, -92, -92, -93]"
