Time,Cell_Type,Cell_ID,Cell_RSSI,WiFi_MAC,WiFi_ID,WiFi_RSSI
20230703_17:03,[],[],[],"[20:28:3e:04:fc:d4, 38:a9:1c:2e:95:c6, 3e:a9:1c:2e:95:c6, 22:28:3e:14:fc:d4, 24:69:68:f0:0d:88, dc:97:58:ce:79:3b, 0e:b5:9b:17:0a:70, 7c:b5:9b:17:0a:70, 38:a9:1c:2e:95:c5, 70:fd:45:4a:d7:72, 70:fd:45:4a:d7:73, 70:fd:45:4a:d7:71, 70:fd:45:4a:d7:70, 70:fd:45:4a:d7:63, b8:80:35:e4:95:24, a0:cf:f5:29:ec:7e, 44:a1:91:a5:7c:c0, 44:a1:91:a5:95:b1, 44:a1:91:a5:95:b2, 44:a1:91:a5:95:b0, 34:ac:11:62:23:f7, 44:a1:91:a5:79:d2, 44:a1:91:a5:79:d3, 44:a1:91:a5:95:b3, 5c:c5:63:ce:96:cb, 70:fd:45:71:14:51, 70:fd:45:71:14:52, 02:b5:53:61:39:64, 70:fd:45:71:14:50, 70:fd:45:71:14:53, 44:a1:91:a5:78:32, 44:a1:91:a5:79:d0, 44:a1:91:a5:79:d1, cc:29:bd:e0:8c:ee, a2:cf:f5:19:ec:7e, 44:a1:91:a5:78:31, 44:a1:91:a5:78:33, 24:b8:da:7c:3a:64, 44:a1:91:a5:78:30, 44:a1:91:a5:7c:d1, 44:a1:91:a5:7c:d0, 44:a1:91:a5:7c:d2, 44:a1:91:a5:7c:d3, 5c:e8:83:7e:a4:b1, 5c:e8:83:7e:a4:b2, 5c:e8:83:7e:a4:b3]","[ChinaNet-3Y2r, tengye_5G, , iTV-3Y2r, 艾力斯特, Hi- irest-Massage Chai-12GR07   , 有家便利店, , tengye, CO-001, public, haikang, Livat WiFi, public, ChinaNet-9566, ChinaNet-n4T7, Livat WiFi, haikang, CO-001, Livat WiFi, 樊文花, CO-001, public, public, 360记录仪XT30-A0B7, haikang, CO-001, 萌宝奇贝_5G, Livat WiFi, public, CO-001, Livat WiFi, haikang, 洗脸熊-5G, iTV-n4T7, haikang, public, CMCC-tTk5-5G, Livat WiFi, haikang, Livat WiFi, CO-001, public, haikang, CO-001, public]","[-67, -67, -68, -68, -68, -69, -70, -72, -73, -74, -74, -75, -75, -76, -79, -80, -81, -81, -81, -81, -82, -82, -82, -82, -82, -82, -82, -82, -83, -83, -84, -84, -84, -84, -84, -85, -85, -85, -86, -88, -89, -89, -89, -90, -91, -91]"
20230703_17:03,[],[],[],"[20:28:3e:04:fc:d4, 22:28:3e:14:fc:d4, 74:f8:db:6a:5a:1d, 0e:b5:9b:17:0a:70, 24:69:68:f0:0d:88, 38:a9:1c:2e:95:c5, 38:a9:1c:2e:95:c6, 3e:a9:1c:2e:95:c6, dc:97:58:ce:79:3b, 70:fd:45:4a:d7:71, 70:fd:45:4a:d7:72, 70:fd:45:4a:d7:73, 34:ac:11:62:23:f7, 70:fd:45:4a:d7:70, 02:b5:53:61:39:64, ce:29:bd:32:98:00, 44:a1:91:a5:7c:c0, 44:a1:91:a5:78:33, e8:9a:ff:06:a5:bb, 44:a1:91:a5:7c:d0, 44:a1:91:a5:7c:d3, 5c:c5:63:ce:96:cb, 44:a1:91:a5:7c:d1, 44:a1:91:a5:7c:d2, 44:a1:91:a5:79:d1, 44:a1:91:a5:79:d2, 44:a1:91:a5:95:b2, 44:a1:91:a5:95:b3, 44:a1:91:a5:95:b0, 44:a1:91:a5:78:20]","[ChinaNet-3Y2r, iTV-3Y2r, LTE-WiFi_5A1D, 有家便利店, 艾力斯特, tengye, tengye_5G, , Hi- irest-Massage Chai-12GR07   , haikang, CO-001, public, 樊文花, Livat WiFi, 萌宝奇贝_5G, , Livat WiFi, public, DIRECT-13-Android_81d3, Livat WiFi, public, 360记录仪XT30-A0B7, haikang, CO-001, haikang, CO-001, CO-001, public, Livat WiFi, Livat WiFi]","[-57, -57, -63, -69, -71, -71, -72, -73, -73, -75, -75, -75, -75, -76, -80, -80, -81, -82, -83, -84, -84, -84, -85, -85, -85, -85, -85, -85, -85, -90]"
20230703_17:03,[],[],[],"[20:28:3e:04:fc:d4, 22:28:3e:14:fc:d4, 74:f8:db:6a:5a:1d, 0e:b5:9b:17:0a:70, 24:69:68:f0:0d:88, 38:a9:1c:2e:95:c5, 38:a9:1c:2e:95:c6, 3e:a9:1c:2e:95:c6, dc:97:58:ce:79:3b, 70:fd:45:4a:d7:71, 70:fd:45:4a:d7:72, 70:fd:45:4a:d7:73, 34:ac:11:62:23:f7, 70:fd:45:4a:d7:70, 02:b5:53:61:39:64, ce:29:bd:32:98:00, 44:a1:91:a5:7c:c0, 44:a1:91:a5:78:33, e8:9a:ff:06:a5:bb, 44:a1:91:a5:7c:d0, 44:a1:91:a5:7c:d3, 5c:c5:63:ce:96:cb, 44:a1:91:a5:7c:d1, 44:a1:91:a5:7c:d2, 44:a1:91:a5:79:d1, 44:a1:91:a5:79:d2, 44:a1:91:a5:95:b2, 44:a1:91:a5:95:b3, 44:a1:91:a5:95:b0, 44:a1:91:a5:78:20]","[ChinaNet-3Y2r, iTV-3Y2r, LTE-WiFi_5A1D, 有家便利店, 艾力斯特, tengye, tengye_5G, , Hi- irest-Massage Chai-12GR07   , haikang, CO-001, public, 樊文花, Livat WiFi, 萌宝奇贝_5G, , Livat WiFi, public, DIRECT-13-Android_81d3, Livat WiFi, public, 360记录仪XT30-A0B7, haikang, CO-001, haikang, CO-001, CO-001, public, Livat WiFi, Livat WiFi]","[-57, -57, -63, -69, -71, -71, -72, -73, -73, -75, -75, -75, -75, -76, -80, -80, -81, -82, -83, -84, -84, -84, -85, -85, -85, -85, -85, -85, -85, -90]"
20230703_17:04,[],[],[],"[0e:b5:9b:17:0a:70, 7c:b5:9b:17:0a:70, bc:9b:5e:fc:58:bf, 24:69:68:f0:0d:88, 74:f8:db:6a:5a:1d, 20:28:3e:04:fc:d4, 22:28:3e:14:fc:d4, 34:ac:11:62:23:f7, 70:fd:45:4a:d7:72, 70:fd:45:4a:d7:71, 70:fd:45:4a:d7:73, 70:fd:45:4a:d7:70, 5c:c5:63:ce:96:cb, 38:a9:1c:2e:95:c6, 3e:a9:1c:2e:95:c6, 44:a1:91:a5:79:d0, 44:a1:91:a5:79:d3, 02:b5:53:61:39:64, 44:a1:91:a5:79:d1, 44:a1:91:a5:79:d2, 5c:a0:00:aa:4c:ff]","[有家便利店, , 芒果Mango, 艾力斯特, LTE-WiFi_5A1D, ChinaNet-3Y2r, iTV-3Y2r, 樊文花, CO-001, haikang, public, Livat WiFi, 360记录仪XT30-A0B7, tengye_5G, , Livat WiFi, public, 萌宝奇贝_5G, haikang, CO-001, MIFI-2315]","[-57, -57, -62, -63, -69, -74, -75, -77, -80, -81, -81, -81, -82, -83, -83, -83, -83, -83, -84, -84, -84]"
20230703_17:04,[],[],[],"[0e:b5:9b:17:0a:70, 7c:b5:9b:17:0a:70, bc:9b:5e:fc:58:bf, 24:69:68:f0:0d:88, 74:f8:db:6a:5a:1d, 20:28:3e:04:fc:d4, 22:28:3e:14:fc:d4, 34:ac:11:62:23:f7, 70:fd:45:4a:d7:72, 70:fd:45:4a:d7:71, 70:fd:45:4a:d7:73, 70:fd:45:4a:d7:70, 5c:c5:63:ce:96:cb, 38:a9:1c:2e:95:c6, 3e:a9:1c:2e:95:c6, 44:a1:91:a5:79:d0, 44:a1:91:a5:79:d3, 02:b5:53:61:39:64, 44:a1:91:a5:79:d1, 44:a1:91:a5:79:d2, 5c:a0:00:aa:4c:ff]","[有家便利店, , 芒果Mango, 艾力斯特, LTE-WiFi_5A1D, ChinaNet-3Y2r, iTV-3Y2r, 樊文花, CO-001, haikang, public, Livat WiFi, 360记录仪XT30-A0B7, tengye_5G, , Livat WiFi, public, 萌宝奇贝_5G, haikang, CO-001, MIFI-2315]","[-57, -57, -62, -63, -69, -74, -75, -77, -80, -81, -81, -81, -82, -83, -83, -83, -83, -83, -84, -84, -84]"
20230703_17:04,[],[],[],"[bc:9b:5e:fc:58:bf, 24:69:68:f0:0d:88, dc:97:58:ce:79:3b, 04:6b:25:e6:47:f1, 74:f8:db:6a:5a:1d, 22:28:3e:14:fc:d4, 20:28:3e:04:fc:d4, e8:9a:ff:06:a5:bb, 5c:c5:63:ce:96:cb, 34:ac:11:62:23:f7, 38:a9:1c:2e:95:c5, 82:7c:57:4c:2a:3e, 38:a9:1c:2e:95:c6, 3e:a9:1c:2e:95:c6, 44:a1:91:a5:79:d1, 44:a1:91:a5:79:d2, 44:a1:91:a5:79:d3, 44:a1:91:a5:79:d0, f0:c8:14:6d:35:5f]","[芒果Mango, 艾力斯特, Hi- irest-Massage Chai-12GR07   , ChinaNet-tfHs, LTE-WiFi_5A1D, iTV-3Y2r, ChinaNet-3Y2r, DIRECT-13-Android_81d3, 360记录仪XT30-A0B7, 樊文花, tengye, HUAWEI_B311_2A4C, tengye_5G, , haikang, CO-001, public, Livat WiFi, YH_DVR_355F]","[-62, -70, -70, -72, -74, -75, -76, -77, -80, -81, -81, -84, -85, -86, -86, -86, -86, -87, -90]"
20230703_17:04,[],[],[],"[bc:9b:5e:fc:58:bf, 24:69:68:f0:0d:88, dc:97:58:ce:79:3b, 04:6b:25:e6:47:f1, 74:f8:db:6a:5a:1d, 22:28:3e:14:fc:d4, 20:28:3e:04:fc:d4, e8:9a:ff:06:a5:bb, 5c:c5:63:ce:96:cb, 34:ac:11:62:23:f7, 38:a9:1c:2e:95:c5, 82:7c:57:4c:2a:3e, 38:a9:1c:2e:95:c6, 3e:a9:1c:2e:95:c6, 44:a1:91:a5:79:d1, 44:a1:91:a5:79:d2, 44:a1:91:a5:79:d3, 44:a1:91:a5:79:d0, f0:c8:14:6d:35:5f]","[芒果Mango, 艾力斯特, Hi- irest-Massage Chai-12GR07   , ChinaNet-tfHs, LTE-WiFi_5A1D, iTV-3Y2r, ChinaNet-3Y2r, DIRECT-13-Android_81d3, 360记录仪XT30-A0B7, 樊文花, tengye, HUAWEI_B311_2A4C, tengye_5G, , haikang, CO-001, public, Livat WiFi, YH_DVR_355F]","[-62, -70, -70, -72, -74, -75, -76, -77, -80, -81, -81, -84, -85, -86, -86, -86, -86, -87, -90]"
20230703_17:04,[],[],[],"[24:69:68:f0:0d:88, bc:9b:5e:fc:58:bf, 0e:b5:9b:17:0a:70, 7c:b5:9b:17:0a:70, 04:6b:25:e6:47:f1, e8:9a:ff:06:a5:bb, dc:97:58:ce:79:3b, 5c:c5:63:ce:96:cb, 20:28:3e:04:fc:d4, 22:28:3e:14:fc:d4, 74:f8:db:6a:5a:1d, 44:a1:91:a5:79:c3, 44:a1:91:a5:7c:c0, 44:a1:91:a5:79:c1, 5c:a0:00:aa:4c:ff, 44:a1:91:a5:79:c2, 34:ac:11:62:23:f7, f0:c8:14:6d:35:5f, 44:a1:91:a5:7c:c2, e2:c2:7d:72:25:c2]","[艾力斯特, 芒果Mango, 有家便利店, , ChinaNet-tfHs, DIRECT-13-Android_81d3, Hi- irest-Massage Chai-12GR07   , 360记录仪XT30-A0B7, ChinaNet-3Y2r, iTV-3Y2r, LTE-WiFi_5A1D, public, Livat WiFi, haikang, MIFI-2315, CO-001, 樊文花, YH_DVR_355F, CO-001, SETIROM]","[-62, -65, -68, -68, -73, -75, -76, -77, -78, -79, -80, -81, -82, -82, -84, -84, -86, -88, -92, -92]"
20230703_17:04,[],[],[],"[24:69:68:f0:0d:88, bc:9b:5e:fc:58:bf, 0e:b5:9b:17:0a:70, 7c:b5:9b:17:0a:70, 04:6b:25:e6:47:f1, e8:9a:ff:06:a5:bb, dc:97:58:ce:79:3b, 5c:c5:63:ce:96:cb, 20:28:3e:04:fc:d4, 22:28:3e:14:fc:d4, 74:f8:db:6a:5a:1d, 44:a1:91:a5:79:c3, 44:a1:91:a5:7c:c0, 44:a1:91:a5:79:c1, 5c:a0:00:aa:4c:ff, 44:a1:91:a5:79:c2, 34:ac:11:62:23:f7, f0:c8:14:6d:35:5f, 44:a1:91:a5:7c:c2, e2:c2:7d:72:25:c2]","[艾力斯特, 芒果Mango, 有家便利店, , ChinaNet-tfHs, DIRECT-13-Android_81d3, Hi- irest-Massage Chai-12GR07   , 360记录仪XT30-A0B7, ChinaNet-3Y2r, iTV-3Y2r, LTE-WiFi_5A1D, public, Livat WiFi, haikang, MIFI-2315, CO-001, 樊文花, YH_DVR_355F, CO-001, SETIROM]","[-62, -65, -68, -68, -73, -75, -76, -77, -78, -79, -80, -81, -82, -82, -84, -84, -86, -88, -92, -92]"
20230703_17:04,[],[],[],"[5c:a0:00:aa:4c:ff, 24:69:68:f0:0d:88, 5c:c5:63:ce:96:cb, 38:a9:1c:2e:95:c5, 74:f8:db:6a:5a:1d, ee:23:7b:d9:d9:65, f0:c8:14:6d:35:5f, 22:28:3e:14:fc:d4, 70:fd:45:4a:d7:70]","[MIFI-2315, 艾力斯特, 360记录仪XT30-A0B7, tengye, LTE-WiFi_5A1D, iTV-SSID2, YH_DVR_355F, iTV-3Y2r, Livat WiFi]","[-69, -72, -75, -78, -79, -80, -81, -88, -89]"
20230703_17:04,[],[],[],"[5c:a0:00:aa:4c:ff, 24:69:68:f0:0d:88, 5c:c5:63:ce:96:cb, 38:a9:1c:2e:95:c5, 74:f8:db:6a:5a:1d, ee:23:7b:d9:d9:65, f0:c8:14:6d:35:5f, 22:28:3e:14:fc:d4, 70:fd:45:4a:d7:70]","[MIFI-2315, 艾力斯特, 360记录仪XT30-A0B7, tengye, LTE-WiFi_5A1D, iTV-SSID2, YH_DVR_355F, iTV-3Y2r, Livat WiFi]","[-69, -72, -75, -78, -79, -80, -81, -88, -89]"
20230703_17:04,[],[],[],"[5c:a0:00:aa:4c:ff, 24:69:68:f0:0d:88, 5c:c5:63:ce:96:cb, 38:a9:1c:2e:95:c5, 74:f8:db:6a:5a:1d, ee:23:7b:d9:d9:65, f0:c8:14:6d:35:5f, 22:28:3e:14:fc:d4, 70:fd:45:4a:d7:70]","[MIFI-2315, 艾力斯特, 360记录仪XT30-A0B7, tengye, LTE-WiFi_5A1D, iTV-SSID2, YH_DVR_355F, iTV-3Y2r, Livat WiFi]","[-69, -72, -75, -78, -79, -80, -81, -88, -89]"
20230703_17:04,[],[],[],"[5c:c5:63:ce:96:cb, 5c:a0:00:aa:4c:ff, bc:9b:5e:fc:58:c1, 24:69:68:f0:0d:88, 64:64:4a:2d:eb:54, dc:97:58:ce:79:3b, 68:3a:1e:83:96:73, 56:3a:1e:83:96:73, 64:64:4a:99:f6:29, 22:28:3e:14:fc:d4, ec:23:7b:c9:d9:65, 68:4a:ae:9f:64:a1]","[360记录仪XT30-A0B7, MIFI-2315, 芒果Mango, 艾力斯特, 小鹏, Hi- irest-Massage Chai-12GR07   , , , 小鹏, iTV-3Y2r, MUJOSH, haikang]","[-66, -68, -76, -78, -79, -83, -90, -90, -90, -91, -91, -91]"
20230703_17:04,[],[],[],"[5c:c5:63:ce:96:cb, 5c:a0:00:aa:4c:ff, f0:c8:14:6d:35:5f, 24:69:68:f0:0d:88, 0e:b5:9b:17:0a:70, 7c:b5:9b:17:0a:70, 74:f8:db:6a:5a:1d, 04:6b:25:e6:47:f1, e8:9a:ff:06:a5:bb]","[360记录仪XT30-A0B7, MIFI-2315, YH_DVR_355F, 艾力斯特, 有家便利店, , LTE-WiFi_5A1D, ChinaNet-tfHs, DIRECT-13-Android_81d3]","[-62, -71, -77, -83, -85, -87, -89, -89, -90]"
20230703_17:04,[],[],[],"[5c:c5:63:ce:96:cb, 5c:a0:00:aa:4c:ff, 14:51:7e:5e:26:f7, f0:c8:14:6d:35:5f, 0e:b5:9b:17:0a:70, 04:6b:25:e6:47:f1]","[360记录仪XT30-A0B7, MIFI-2315, NIO-Space-2.4G, YH_DVR_355F, 有家便利店, ChinaNet-tfHs]","[-59, -65, -70, -75, -83, -89]"
20230703_17:04,[],[],[],"[5c:c5:63:ce:96:cb, 5c:a0:00:aa:4c:ff, f0:c8:14:6d:35:5f, 24:69:68:f0:0d:88, 0e:b5:9b:17:0a:70, 14:51:7e:5e:26:f7, 14:51:7e:5e:26:f9, 24:14:07:07:d0:59, 70:fd:45:4a:d5:c0, 70:fd:45:4a:d5:c1]","[360记录仪XT30-A0B7, MIFI-2315, YH_DVR_355F, 艾力斯特, 有家便利店, NIO-Space-2.4G, , HiDVR_07d059, Livat WiFi, haikang]","[-64, -65, -71, -82, -84, -85, -87, -90, -93, -96]"
20230703_17:04,[],[],[],"[5c:c5:63:ce:96:cb, 5c:a0:00:aa:4c:ff, f0:c8:14:6d:35:5f, 14:51:7e:5e:26:f7, 7c:b5:9b:17:0a:70, 14:51:7e:5e:26:f9, 24:14:07:07:d0:59, 24:69:68:f0:0d:88, 04:6b:25:e6:47:f1, 14:51:7e:5e:2d:4d]","[360记录仪XT30-A0B7, MIFI-2315, YH_DVR_355F, NIO-Space-2.4G, , , HiDVR_07d059, 艾力斯特, ChinaNet-tfHs, ]","[-62, -64, -73, -82, -83, -84, -86, -89, -90, -91]"
20230703_17:04,[],[],[],"[5c:c5:63:ce:96:cb, 5c:a0:00:aa:4c:ff, f0:c8:14:6d:35:5f, 14:51:7e:5e:26:f7, 64:64:4a:99:f6:29, 24:69:68:f0:0d:88, 14:51:7e:5e:2d:4b, 14:51:7e:5e:2d:4d, aa:02:db:ba:f4:54]","[360记录仪XT30-A0B7, MIFI-2315, YH_DVR_355F, NIO-Space-2.4G, 小鹏, 艾力斯特, NIO-Space-2.4G, , ]","[-47, -64, -75, -78, -79, -85, -86, -88, -90]"
20230703_17:04,[],[],[],"[5c:c5:63:ce:96:cb, 5c:a0:00:aa:4c:ff, f0:c8:14:6d:35:5f, 24:69:68:f0:0d:88, 14:51:7e:5e:26:f7, 24:14:07:07:d0:59, 70:fd:45:4a:d5:c0, 70:fd:45:4a:d5:c2, 70:fd:45:4a:d5:c1]","[360记录仪XT30-A0B7, MIFI-2315, YH_DVR_355F, 艾力斯特, NIO-Space-2.4G, HiDVR_07d059, Livat WiFi, CO-001, haikang]","[-50, -61, -72, -84, -84, -86, -89, -89, -91]"
20230703_17:04,[],[],[],"[5c:c5:63:ce:96:cb, 5c:a0:00:aa:4c:ff, f0:c8:14:6d:35:5f, 0e:b5:9b:17:0a:70, 7c:b5:9b:17:0a:70, 24:69:68:f0:0d:88, 14:51:7e:5e:26:f7, aa:02:db:ba:f4:54, 14:51:7e:5e:26:f9]","[360记录仪XT30-A0B7, MIFI-2315, YH_DVR_355F, 有家便利店, , 艾力斯特, NIO-Space-2.4G, , ]","[-49, -59, -78, -83, -88, -90, -91, -91, -92]"
20230703_17:04,[],[],[],"[5c:c5:63:ce:96:cb, 5c:a0:00:aa:4c:ff, f0:c8:14:6d:35:5f, 0e:b5:9b:17:0a:70, 24:14:07:07:d0:59, 7c:b5:9b:17:0a:70, 24:69:68:f0:0d:88, 14:51:7e:5e:26:f9]","[360记录仪XT30-A0B7, MIFI-2315, YH_DVR_355F, 有家便利店, HiDVR_07d059, , 艾力斯特, ]","[-55, -69, -72, -82, -83, -84, -90, -90]"
20230703_17:04,[],[],[],"[5c:c5:63:ce:96:cb, 5c:a0:00:aa:4c:ff, f0:c8:14:6d:35:5f, 7c:b5:9b:17:0a:70, 24:14:07:07:d0:59, 0e:b5:9b:17:0a:70, 24:69:68:f0:0d:88, 14:51:7e:5e:26:f9, 14:51:7e:5e:2d:4b, a8:02:db:da:f4:54]","[360记录仪XT30-A0B7, MIFI-2315, YH_DVR_355F, , HiDVR_07d059, 有家便利店, 艾力斯特, , NIO-Space-2.4G, EAHCHANIE]","[-55, -59, -71, -78, -79, -80, -88, -89, -89, -91]"
20230703_17:04,[],[],[],"[5c:c5:63:ce:96:cb, 5c:a0:00:aa:4c:ff, f0:c8:14:6d:35:5f, 14:51:7e:5e:26:f9]","[360记录仪XT30-A0B7, MIFI-2315, YH_DVR_355F, ]","[-56, -65, -80, -87]"
20230703_17:04,[],[],[],"[5c:c5:63:ce:96:cb, 5c:a0:00:aa:4c:ff, 7c:b5:9b:17:0a:70, 24:14:07:07:d0:59, f0:c8:14:6d:35:5f, 0e:b5:9b:17:0a:70, f4:2a:7d:19:1a:e7, 68:4e:05:a5:00:a8, 14:51:7e:5e:26:f9]","[360记录仪XT30-A0B7, MIFI-2315, , HiDVR_07d059, YH_DVR_355F, 有家便利店, POPMART, 360行车记录仪G300Pro-282C, ]","[-56, -57, -80, -82, -84, -84, -88, -90, -91]"
20230703_17:04,[],[],[],"[5c:a0:00:aa:4c:ff, 5c:c5:63:ce:96:cb, 24:14:07:07:d0:59, f0:c8:14:6d:35:5f, 7c:b5:9b:17:0a:70]","[MIFI-2315, 360记录仪XT30-A0B7, HiDVR_07d059, YH_DVR_355F, ]","[-56, -60, -70, -85, -89]"
20230703_17:04,[],[],[],"[5c:c5:63:ce:96:cb, 5c:a0:00:aa:4c:ff, 24:14:07:07:d0:59, 7c:b5:9b:17:0a:70, f0:c8:14:6d:35:5f, 0e:b5:9b:17:0a:70, c8:ee:a6:50:13:a4, 14:51:7e:5e:2d:4d]","[360记录仪XT30-A0B7, MIFI-2315, HiDVR_07d059, , YH_DVR_355F, 有家便利店, wireless-5013A4, ]","[-58, -61, -79, -82, -83, -86, -89, -95]"
20230703_17:04,[],[],[],"[5c:c5:63:ce:96:cb, 5c:a0:00:aa:4c:ff, f0:c8:14:6d:35:5f, 7c:b5:9b:17:0a:70, 06:42:d3:36:22:43, c8:ee:a6:50:13:a4, 0e:b5:9b:17:0a:70, 24:14:07:07:d0:59, f4:2a:7d:19:1a:e7, 04:6b:25:e6:47:f1]","[360记录仪XT30-A0B7, MIFI-2315, YH_DVR_355F, , lixiang-staff, wireless-5013A4, 有家便利店, HiDVR_07d059, POPMART, ChinaNet-tfHs]","[-64, -65, -78, -82, -83, -84, -86, -90, -90, -94]"
20230703_17:04,[],[],[],"[5c:c5:63:ce:96:cb, 5c:a0:00:aa:4c:ff, f0:c8:14:6d:35:5f, 0e:b5:9b:17:0a:70]","[360记录仪XT30-A0B7, MIFI-2315, YH_DVR_355F, 有家便利店]","[-62, -70, -82, -86]"
20230703_17:04,[],[],[],"[24:14:07:07:d0:59, 5c:c5:63:ce:96:cb, 5c:a0:00:aa:4c:ff, f0:c8:14:6d:35:5f, 7c:b5:9b:17:0a:70, 0e:b5:9b:17:0a:70, 04:6b:25:e6:47:f1]","[HiDVR_07d059, 360记录仪XT30-A0B7, MIFI-2315, YH_DVR_355F, , 有家便利店, ChinaNet-tfHs]","[-63, -70, -74, -82, -87, -89, -89]"
20230703_17:04,[],[],[],"[5c:c5:63:ce:96:cb, 5c:a0:00:aa:4c:ff, 7c:b5:9b:17:0a:70, 0e:b5:9b:17:0a:70, f4:2a:7d:19:1a:e7, f0:c8:14:6d:35:5f, 06:42:d3:36:22:43, 0a:42:d3:36:22:43]","[360记录仪XT30-A0B7, MIFI-2315, , 有家便利店, POPMART, YH_DVR_355F, lixiang-staff, lixiang-guest]","[-72, -76, -82, -83, -90, -92, -92, -93]"
20230703_17:04,[],[],[],"[5c:c5:63:ce:96:cb, 5c:a0:00:aa:4c:ff, 7c:b5:9b:17:0a:70, 0e:b5:9b:17:0a:70, f0:c8:14:6d:35:5f, 70:fd:45:4a:d5:20, 24:69:68:f0:0d:88, ac:64:cf:a1:3f:7f]","[360记录仪XT30-A0B7, MIFI-2315, , 有家便利店, YH_DVR_355F, Livat WiFi, 艾力斯特, DS_ac64cfa13f7f]","[-68, -73, -85, -85, -86, -88, -90, -91]"
20230703_17:04,[],[],[],"[5c:c5:63:ce:96:cb, 30:23:03:34:63:7b, 5c:a0:00:aa:4c:ff, 7c:b5:9b:17:0a:70, 0e:b5:9b:17:0a:70, f0:c8:14:6d:35:5f, 0e:42:d3:36:22:43, c8:ee:a6:50:13:a4, 70:fd:45:ea:43:c1, 70:fd:45:ea:43:c0]","[360记录仪XT30-A0B7, CS-Livat, MIFI-2315, , 有家便利店, YH_DVR_355F, lixiang-person, wireless-5013A4, haikang, Livat WiFi]","[-64, -73, -78, -85, -86, -87, -90, -90, -93, -94]"
20230703_17:05,[],[],[],"[5c:c5:63:ce:96:cb, 7c:b5:9b:17:0a:70, 5c:a0:00:aa:4c:ff, f0:c8:14:6d:35:5f, 70:fd:45:ea:43:c1, 70:fd:45:ea:43:c2, 70:fd:45:ea:43:c3, f4:2a:7d:19:1a:e7]","[360记录仪XT30-A0B7, , MIFI-2315, YH_DVR_355F, haikang, CO-001, public, POPMART]","[-61, -78, -79, -84, -86, -86, -86, -93]"
20230703_17:05,[],[],[],"[5c:c5:63:ce:96:cb, 70:fd:45:ea:43:c2, 5c:a0:00:aa:4c:ff, ac:64:cf:a1:3f:7f, 0e:b5:9b:17:0a:70, 70:fd:45:ea:43:c1, 70:fd:45:ea:43:c0, f0:c8:14:6d:35:5f, 24:69:68:f0:0d:88]","[360记录仪XT30-A0B7, CO-001, MIFI-2315, DS_ac64cfa13f7f, 有家便利店, haikang, Livat WiFi, YH_DVR_355F, 艾力斯特]","[-63, -78, -79, -81, -85, -85, -86, -88, -94]"
20230703_17:05,[],[],[],"[5c:c5:63:ce:96:cb, ac:64:cf:a1:3f:7f, 70:fd:45:ea:43:c0, 7c:b5:9b:17:0a:70, 70:fd:45:ea:43:c1, 88:12:ac:1f:24:09, 70:fd:45:ea:43:c3, 70:fd:45:ea:43:d1, 70:fd:45:ea:43:d0, 70:fd:45:ea:43:d2]","[360记录仪XT30-A0B7, DS_ac64cfa13f7f, Livat WiFi, , haikang, DDPAI_K5_2409, public, haikang, Livat WiFi, CO-001]","[-65, -77, -80, -81, -81, -84, -86, -88, -91, -91]"
20230703_17:05,[],[],[],"[5c:c5:63:ce:96:cb, ac:64:cf:a1:3f:7f, 70:fd:45:ea:43:c0, 7c:b5:9b:17:0a:70, 70:fd:45:ea:43:c1, 88:12:ac:1f:24:09, 70:fd:45:ea:43:c3, 70:fd:45:ea:43:d1, 70:fd:45:ea:43:d0, 70:fd:45:ea:43:d2]","[360记录仪XT30-A0B7, DS_ac64cfa13f7f, Livat WiFi, , haikang, DDPAI_K5_2409, public, haikang, Livat WiFi, CO-001]","[-65, -77, -80, -81, -81, -84, -86, -88, -91, -91]"
20230703_17:05,[],[],[],"[5c:c5:63:ce:96:cb, ac:64:cf:a1:3f:7f, 70:fd:45:ea:43:c0, 7c:b5:9b:17:0a:70, 70:fd:45:ea:43:c1, 88:12:ac:1f:24:09, 70:fd:45:ea:43:c3, 70:fd:45:ea:43:d1, 70:fd:45:ea:43:d0, 70:fd:45:ea:43:d2]","[360记录仪XT30-A0B7, DS_ac64cfa13f7f, Livat WiFi, , haikang, DDPAI_K5_2409, public, haikang, Livat WiFi, CO-001]","[-65, -77, -80, -81, -81, -84, -86, -88, -91, -91]"
20230703_17:05,[],[],[],[ac:64:cf:a1:3f:7f],[DS_ac64cfa13f7f],[-85]
20230703_17:05,[],[],[],[ac:64:cf:a1:3f:7f],[DS_ac64cfa13f7f],[-85]
20230703_17:05,[],[],[],[ac:64:cf:a1:3f:7f],[DS_ac64cfa13f7f],[-85]
20230703_17:05,[],[],[],"[ac:64:cf:a1:3f:7f, 5c:c5:63:ce:96:cb, 0e:b5:9b:17:0a:70, 5c:a0:00:aa:4c:ff]","[DS_ac64cfa13f7f, 360记录仪XT30-A0B7, 有家便利店, MIFI-2315]","[-87, -88, -88, -90]"
20230703_17:05,[],[],[],[5c:c5:63:ce:96:cb],[360记录仪XT30-A0B7],[-91]
